Business Name,NAICS Code,Industry Description
"Industrial Material & Equipment, Inc.",423830,Industrial Machinery and Equipment Merchant Wholesalers
Northwest Enterprises,561110,Office Administrative Services
TLS Farm Services of East Texas LLC,115112,"Soil Preparation, Planting, and Cultivating"
Benchmark Industrial,423840,Industrial Supplies Merchant Wholesalers
Useroffline,518210,"Data Processing, Hosting, and Related Services"
Fidelity Investments,523930,Investment Advice
CORE X PERFORMANCE,611620,Sports and Recreation Instruction
RAM Trucking Inc,484110,"General Freight Trucking, Local"
Conti,541330,Engineering Services
La Hearne Company,424910,Farm Supplies Merchant Wholesalers
Busch Farms,111998,All Other Miscellaneous Crop Farming
Anderson Bakery,311812,Commercial Bakeries
CDI LAWN EQUIPMENT,444220,"Nursery, Garden Center, and Farm Supply Stores"
Pierre Landscape,561730,Landscaping Services
"A.C. Cartage, Inc.",484220,"Specialized Freight (except Used Goods) Trucking, Local"
Kansas grain inspection,115114,Postharvest Crop Activities (except Cotton Ginning)
Steger Transport,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
ARKANSAS DIESEL ENGINES,811310,Commercial and Industrial Machinery and Equipment Repair and Maintenance
"ONEOK, Inc.",486210,Pipeline Transportation of Natural Gas
LIQUID BULK SERVICES,484110,"General Freight Trucking, Local"
FW Cobs,424510,Grain and Field Bean Merchant Wholesalers
Diageo Americas Supply,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
"Science Care, Inc.",541714,Research and Development in Biotechnology (except Nanobiotechnology)
Court House,922110,Courts
"Keith's Power Equipment, Inc.",423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
"McDermott / CBI, LLC",237990,Other Heavy and Civil Engineering Construction
Agilent Technologies,334516,Analytical Laboratory Instrument Manufacturing
Nashville Record Pressing,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
TRT Intermodal,488210,Support Activities for Rail Transportation
"Shriver Farms, LLC",111998,All Other Miscellaneous Crop Farming
Hawkeye Gold LLC,424510,Grain and Field Bean Merchant Wholesalers
Cowlitz Timber Trails,721211,RV (Recreational Vehicle) Parks and Campgrounds
Atlantic Pacific Inc,541614,"Process, Physical Distribution, and Logistics Consulting Services"
REDHEAD MEDICAL,339112,Surgical and Medical Instrument Manufacturing
Suburban Industrial Packaging,326199,All Other Plastics Product Manufacturing
272 RSG,541330,Engineering Services
"South Atlantic Services, Inc",541690,Other Scientific and Technical Consulting Services
"Kimrad Transport, LP",484121,"General Freight Trucking, Long-Distance, Truckload"
beaver meadow creamery,311511,Fluid Milk Manufacturing
Pina Solutions,541611,Administrative Management and General Management Consulting Services
Stephen Gould Corporation,323111,Commercial Printing (except Screen and Books)
Clemens Food Group,311612,Meat Processed from Carcasses
Bobcat of Warsaw,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
CEMEX,327310,Cement Manufacturing
Maytag Dairy Farms,311513,Cheese Manufacturing
Marquart Repair & Equipment Sales,811310,Commercial and Industrial Machinery and Equipment Repair and Maintenance
CJ Logistics,488510,Freight Transportation Arrangement
WINCORP INTERNATIONAL,425120,Wholesale Trade Agents and Brokers
Little Leaf Farms,111419,Other Food Crops Grown Under Cover
Bcompliant FPS,541380,Testing Laboratories
Frank Belcher Supply,424590,Other Farm Product Raw Material Merchant Wholesalers
Drake Lighting,335129,Other Lighting Equipment Manufacturing
Westphal Trucking LLC,484110,"General Freight Trucking, Local"
DOWNLITE,314129,Other Household Textile Product Mills
Iroquois County Clerk & Recorder,921120,Legislative Bodies
Ghirardelli Chocolate Company,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
Mastercraft Boat Company,336612,Boat Building
"Circle A Brokers, LLC",425120,Wholesale Trade Agents and Brokers
AGM Transport Inc,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Chambers County Clerk's Office,921120,Legislative Bodies
Purtis Creek Farms,111998,All Other Miscellaneous Crop Farming
BPR Rico Equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers
Juncker Inc,541611,Administrative Management and General Management Consulting Services
White Arrow,484121,"General Freight Trucking, Long-Distance, Truckload"
Cascade Cheese,311513,Cheese Manufacturing
shmulys fine cuts,424480,Fresh Fruit and Vegetable Merchant Wholesalers
DXP Enterprises,423840,Industrial Supplies Merchant Wholesalers
Toms Tree Place,561730,Landscaping Services
Walmart,452311,Warehouse Clubs and Supercenters
FORD GRHVC,336111,Automobile Manufacturing
"Wondertreats, Inc.",311812,Commercial Bakeries
Printcbf,323111,Commercial Printing (except Screen and Books)
SGI,511210,Software Publishers
DLR Trucking,484110,"General Freight Trucking, Local"
North Eastern Equipment Sales & Rentals,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
Ring Container,326199,All Other Plastics Product Manufacturing
Pallet Express,321920,Wood Container and Pallet Manufacturing
Hale County Clerk's Office,921120,Legislative Bodies
Interblock USA,339999,All Other Miscellaneous Manufacturing
Kroger Mountain View Foods,445110,Supermarkets and Other Grocery (except Convenience) Stores
Millennium Print Group,323111,Commercial Printing (except Screen and Books)
H&M Mechanical LLC,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
Bulk Warehouse services,493110,General Warehousing and Storage
VAN ZANDT COUNTY CLERK,921120,Legislative Bodies
Totalchem svcs inc,424690,Other Chemical and Allied Products Merchant Wholesalers
RELIABLE FIRE AND SAFETY,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
Moran Logistics,493110,General Warehousing and Storage
Wilkinson Auctions,541910,Marketing Research and Public Opinion Polling
STP Ellermann,424490,Other Grocery and Related Products Merchant Wholesalers
International Fire Protection,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
GrayMar Environmental Services,541620,Environmental Consulting Services
"L & L Pallet Supply, Inc",321920,Wood Container and Pallet Manufacturing
Remaley,541611,Administrative Management and General Management Consulting Services
GottaDo Contracting,238990,All Other Specialty Trade Contractors
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers
Florexpo,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
City of San Juan Bautista,921120,Legislative Bodies
Richmond Lenox EMS,621910,Ambulance Services
"Sheppard Grain Enterprises, LLC",424510,Grain and Field Bean Merchant Wholesalers
Brown Farm Equipment,333111,Farm Machinery and Equipment Manufacturing
"Solvay USA, Inc.",325199,All Other Basic Organic Chemical Manufacturing
Holtzman Equip & Construction,236220,Commercial and Institutional Building Construction
A.M. Woodland Outdoor Design,561730,Landscaping Services
PEARSON SALES COMPANY INC.,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
Curio Wellness,446191,Food (Health) Supplement Stores
Good360,813219,Other Grantmaking and Giving Services
Savage Services Corporation,488999,All Other Support Activities for Transportation
Hemphill County & District Clerk,922110,Courts
Chemical Dynamics Inc,325320,Pesticide and Other Agricultural Chemical Manufacturing
"Gourmet Wood Products, Inc",321999,All Other Miscellaneous Wood Product Manufacturing
"Tomar Industries, Inc.",424130,Industrial and Personal Service Paper Merchant Wholesalers
Valvoline,324191,Petroleum Lubricating Oil and Grease Manufacturing
"Infinite Electronics Recycling, LLC",562920,Materials Recovery Facilities
"MDS Trucking V, Inc.",484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Pearce Renewables,221118,Other Electric Power Generation
Route 20 Tank wash,488410,Motor Vehicle Towing
Falcon Airport Services LLC,488119,Other Airport Operations
"BEAED OF BEAUMONT, LLC.",561311,Employment Placement Agencies
The Spiratex Company,326199,All Other Plastics Product Manufacturing
Intercon,423840,Industrial Supplies Merchant Wholesalers
Highline Warren,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
CA Tesch Equipment,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
ALLAN COMPANY,423930,Recyclable Material Merchant Wholesalers
Columbia Data Systems,541511,Custom Computer Programming Services
Save-A-Lot,445110,Supermarkets and Other Grocery (except Convenience) Stores
Semo Milling,311211,Flour Milling
Studio Zewde,541320,Landscape Architectural Services
Paragon Leasing L.P.,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
Shelby County Election Commission,921120,Legislative Bodies
Minhas Craft Brewery,312120,Breweries
Greer Trucking LLc,484121,"General Freight Trucking, Long-Distance, Truckload"
FedEx Ground - LINEHAUL,492110,Couriers and Express Delivery Services
Stafford County Sheriff's Office,922120,Police Protection
Empire National Inc,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Ventura foods,311999,All Other Miscellaneous Food Manufacturing
TRANSPORTES NAZARIO RUIZ,484121,"General Freight Trucking, Long-Distance, Truckload"
Aeris Technologies,334519,Other Measuring and Controlling Device Manufacturing
City of Cape Coral - Public Works,921120,Legislative Bodies
Scenario,541512,Computer Systems Design Services
CEI Certified Express Inc.,484110,"General Freight Trucking, Local"
Energy Select LLC,541690,Other Scientific and Technical Consulting Services
Maryland Government,921120,Legislative Bodies
Golub Corp.,445110,Supermarkets and Other Grocery (except Convenience) Stores
Hawkeye Gold LLC,424510,Grain and Field Bean Merchant Wholesalers
MIDWEST CONVERTING INC,322220,Paper Bag and Coated and Treated Paper Manufacturing
Major Taxidermy,712130,Zoos and Botanical Gardens
Caron,622210,Psychiatric and Substance Abuse Hospitals
Rahim Transport,484121,"General Freight Trucking, Long-Distance, Truckload"
"Patriot Energy Services, Inc.",238210,Electrical Contractors and Other Wiring Installation Contractors
Texon LP,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Ford,336111,Automobile Manufacturing
Ethnix Group,541611,Administrative Management and General Management Consulting Services
Astro Ford,441110,New Car Dealers
Safe Fire Detection,561621,Security Systems Services (except Locksmiths)
top road pa,488490,Other Support Activities for Road Transportation
TMT TRUCKING,484121,"General Freight Trucking, Long-Distance, Truckload"
HMD Construction Group,236220,Commercial and Institutional Building Construction
Frito - Lay,311919,Other Snack Food Manufacturing
FASTENAL,423840,Industrial Supplies Merchant Wholesalers
Goodwill of the Heartland,624310,Vocational Rehabilitation Services
NAVY EXCHANGE,452319,All Other General Merchandise Stores
ABC Warehouse,443141,Household Appliance Stores
William Parker Associates INC,541618,Other Management Consulting Services
Ashley Snell Collection,453220,"Gift, Novelty, and Souvenir Stores"
Zilla LLC,541511,Custom Computer Programming Services
RHM Transportation,484121,"General Freight Trucking, Long-Distance, Truckload"
Bunge SCF,311224,Soybean and Other Oilseed Processing
PSEG FIRE DEPT,922160,Fire Protection
Valley Hay,424910,Farm Supplies Merchant Wholesalers
Wyoming County Board of Elections,921120,Legislative Bodies
Bush Brothers & Co.,311421,Fruit and Vegetable Canning
Albertsons,445110,Supermarkets and Other Grocery (except Convenience) Stores
Houff Corporation,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Banmar Taxidermy,712130,Zoos and Botanical Gardens
Defense Logistics Agency,493110,General Warehousing and Storage
Cornet RPS,541380,Testing Laboratories
Cornet,541380,Testing Laboratories
"Dedicated Freight, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload"
"Conservit, Inc",423930,Recyclable Material Merchant Wholesalers
Ford Motor Company,336111,Automobile Manufacturing
Valley Pacific,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Salt city fire protection,561621,Security Systems Services (except Locksmiths)
MAGNOLIA FOODS,311999,All Other Miscellaneous Food Manufacturing
Davis Ulmer,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
City of Charlottesville Office of Voter Registration,921120,Legislative Bodies
Obersons,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Stanley Brothers,424210,Drugs and Druggists' Sundries Merchant Wholesalers
AOCUSA,541330,Engineering Services
DMX EXPRESS LLC,484110,"General Freight Trucking, Local"
Eastman,325199,All Other Basic Organic Chemical Manufacturing
Dubbels Trucking,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
Refugio County Elections Administration,921120,Legislative Bodies
Boston Irrigation,561730,Landscaping Services
Total Quality Logistics,488510,Freight Transportation Arrangement
"White Construction, Inc.",236220,Commercial and Institutional Building Construction
international Bridge,488510,Freight Transportation Arrangement
Parktelusa,517312,Wireless Telecommunications Carriers (except Satellite)
BeverageCityLLC,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
Colusa Produce Corporation,424480,Fresh Fruit and Vegetable Merchant Wholesalers
"Deschutes Brewery, Inc.",312120,Breweries
Montague County Elections,921120,Legislative Bodies
MCS Advertising LLC,541810,Advertising Agencies
DIOKO USA,541613,Marketing Consulting Services
Dismal Swamp Taxidermy,712130,Zoos and Botanical Gardens
Wall's Gator Farm II,112990,All Other Animal Production
Erath County Elections,921120,Legislative Bodies
Procacci Brothers,424480,Fresh Fruit and Vegetable Merchant Wholesalers
Kingspan,326140,Polystyrene Foam Product Manufacturing
Cooksey Transportation Company LLC,484121,"General Freight Trucking, Long-Distance, Truckload"
Heartland Coop,424510,Grain and Field Bean Merchant Wholesalers
American Red Cross,624230,Emergency and Other Relief Services
"Crane Rental Service, Inc.",532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
Ward County Clerk,921120,Legislative Bodies
Zoom Digital,541511,Custom Computer Programming Services
Timmons Oil,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
Moore County Clerk,921120,Legislative Bodies
Perfect Precision,332710,Machine Shops
Lamb County Elections,921120,Legislative Bodies
Do It Best,444130,Hardware Stores
Hi-Plains Cooperative Association,424510,Grain and Field Bean Merchant Wholesalers
Reddinger taxidermy,712130,Zoos and Botanical Gardens
Memphis PDC --- Ford Motor C0,336111,Automobile Manufacturing
Kentucky Lottery Corporation,713290,Other Gambling Industries
Coke County Clerk,921120,Legislative Bodies
Cardiff School District,611110,Elementary and Secondary Schools
Parmer County Elections,921120,Legislative Bodies
Taylor County Elections,921120,Legislative Bodies
Maritime Cargo Services Inc.,488320,Marine Cargo Handling
Brewster County,921120,Legislative Bodies
Comanche County Elections,921120,Legislative Bodies
Hockley County Elections,921120,Legislative Bodies
Sabine County Elections,921120,Legislative Bodies
Cass County Elections,921120,Legislative Bodies
Mywood County,921120,Legislative Bodies
Stephens County Elections,921120,Legislative Bodies
Gaines County Elections,921120,Legislative Bodies
FORD LAKELAND HVC,336111,Automobile Manufacturing
AZ Ministry Network,813110,Religious Organizations
Dusty Lane Farms,111998,All Other Miscellaneous Crop Farming
"New Era Logistics, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload"
Hawaiian Legacy Reforestation Initiative,115310,Support Activities for Forestry
MSC,488510,Freight Transportation Arrangement
Salem Fire Equipment,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
Air Ocean Parcel Service LLC,488510,Freight Transportation Arrangement
Logiclean LLC,561720,Janitorial Services
COLLINS MACHINE WORKS,332710,Machine Shops
Net PAC International,561499,All Other Business Support Services
ENCINITAS UNION SCHOOL DISTRICT,611110,Elementary and Secondary Schools
Two Notch Taxidermy,712130,Zoos and Botanical Gardens
Blue Line Corporation,561612,Security Guards and Patrol Services
Hexion Inc.,325211,Plastics Material and Resin Manufacturing
Llads Ventures Inc,541611,Administrative Management and General Management Consulting Services
Interroll Engineering West,333922,Conveyor and Conveying Equipment Manufacturing
COLORADO INDUSTRIAL SUPPLY,423840,Industrial Supplies Merchant Wholesalers
American Tank Wash,488410,Motor Vehicle Towing
Enviva biomass,321999,All Other Miscellaneous Wood Product Manufacturing
HARRY K. WONG PUBLICATIONS,511130,Book Publishers
Cantilloholdings,551112,Offices of Other Holding Companies
IP Biomass Inc,321999,All Other Miscellaneous Wood Product Manufacturing
Brenntag,424690,Other Chemical and Allied Products Merchant Wholesalers
Hudson Valley Creamery,311513,Cheese Manufacturing
BMWNA,336111,Automobile Manufacturing
SPER Chemical Corporation,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
Outdoor Craftsmen,561730,Landscaping Services
Continuum Transportation,488510,Freight Transportation Arrangement
Town of Easton,921120,Legislative Bodies
Weird Beverages,312111,Soft Drink Manufacturing
"Sutherland Products, Inc.",325611,Soap and Other Detergent Manufacturing
Sleepy Creek Tannery,316110,Leather and Hide Tanning and Finishing
Redline Metals Inc,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
Global fmcg brands Inc,424490,Other Grocery and Related Products Merchant Wholesalers
Traibers meat,424470,Meat and Meat Product Merchant Wholesalers
Brandeis University,611310,"Colleges, Universities, and Professional Schools"
Comcast,517311,Wired Telecommunications Carriers
Williamson Cold Storage,493120,Refrigerated Warehousing and Storage
Willis Police Department,922120,Police Protection
JAQUITH INDUSTRIES INC,332312,Fabricated Structural Metal Manufacturing
Edmunds Foods,311999,All Other Miscellaneous Food Manufacturing
Artisan Outdoor Living,561730,Landscaping Services
J H ROUTH PACKING,311611,Animal (except Poultry) Slaughtering
GLOBAL SHIPPING SERVICES,488510,Freight Transportation Arrangement
Ernest Packaging,322211,Corrugated and Solid Fiber Box Manufacturing
NVE,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
Ripley Industries Inc.,332710,Machine Shops
Monument Chemical,325199,All Other Basic Organic Chemical Manufacturing
Medford Ambulance,621910,Ambulance Services
"MR. BRANDS, LLC",541613,Marketing Consulting Services
DSSI,561320,Temporary Help Services
The Choctaw Nation of Oklahoma,921150,American Indian and Alaska Native Tribal Governments
COSCO Fire Protection,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
Trade International Group,541614,"Process, Physical Distribution, and Logistics Consulting Services"
"Delta Treatment Systems, LLC",221320,Sewage Treatment Facilities
GAF,324122,Asphalt Shingle and Coating Materials Manufacturing
Vane Brothers,488330,Navigational Services to Shipping
Bulk Warehouse services,493110,General Warehousing and Storage
West Paw,339999,All Other Miscellaneous Manufacturing
Toro Xpress Logistics LLC,484121,"General Freight Trucking, Long-Distance, Truckload"
Chief Packaging,322211,Corrugated and Solid Fiber Box Manufacturing
Neel Aviation DC,488190,Other Support Activities for Air Transportation
"Frank J. Zitz & Co., Inc.",711510,"Independent Artists, Writers, and Performers"
Santa Margarita Water District,221310,Water Supply and Irrigation Systems
Kerotest Manufacturing,332911,Industrial Valve Manufacturing
SET,541690,Other Scientific and Technical Consulting Services
CCG,561110,Office Administrative Services
GRT Move LLC,484210,Used Household and Office Goods Moving
Local Teamsters 707,813930,Labor Unions and Similar Labor Organizations
WINCORP INTERNATIONAL,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
High Desert Milk,311511,Fluid Milk Manufacturing
Ford Motor Company-Houston HVC,336111,Automobile Manufacturing
Princess Cargo Corp,488510,Freight Transportation Arrangement
USHYdrations,312112,Bottled Water Manufacturing
PSC,541690,Other Scientific and Technical Consulting Services
Frontier Logistics L.P.,488510,Freight Transportation Arrangement
Eden Valley Growers,424480,Fresh Fruit and Vegetable Merchant Wholesalers
OrthoMetals Americas LLC,423510,Metal Service Centers and Other Metal Merchant Wholesalers
"Wheeland Lumber Co., Inc.",321113,Sawmills
JME Transport Corp.,484121,"General Freight Trucking, Long-Distance, Truckload"
On Track Trucking Inc,484110,"General Freight Trucking, Local"
ASAK SOLUTIONS LLC,541611,Administrative Management and General Management Consulting Services
Duckwall Fruit,424480,Fresh Fruit and Vegetable Merchant Wholesalers
AmeriGas,454310,Fuel Dealers
Top Notch Seed,424910,Farm Supplies Merchant Wholesalers
Odyssey Polymers,325211,Plastics Material and Resin Manufacturing
Townsend Grain Co.,424510,Grain and Field Bean Merchant Wholesalers
Zook Molasses / Good Food Inc,311999,All Other Miscellaneous Food Manufacturing
Monument Chemical Kentucky,325199,All Other Basic Organic Chemical Manufacturing
"Quality Transport, Inc.",484121,"General Freight Trucking, Long-Distance, Truckload"
Rio Tinto,212399,All Other Nonmetallic Mineral Mining
SMILES MOTORS LLC,441110,New Car Dealers
"Kyrie Global, Inc",541611,Administrative Management and General Management Consulting Services
McLane Global,424490,Other Grocery and Related Products Merchant Wholesalers
"Berkshire Refrigerated Warehousing, LLC",493120,Refrigerated Warehousing and Storage
City of Bloomfield,921120,Legislative Bodies
Core Civic,922140,Correctional Institutions
ALLAN COMPANY,423930,Recyclable Material Merchant Wholesalers
Huntleigh USA Corporation,561612,Security Guards and Patrol Services
Clay County Elections,921120,Legislative Bodies
Jackson Packaging LLC,322211,Corrugated and Solid Fiber Box Manufacturing
Alfred H Knight North America Ltd.,541380,Testing Laboratories
Emmorey Transportation LLC,484121,"General Freight Trucking, Long-Distance, Truckload"
"Sprague's Supply, Inc./DBA NAPA Auto Parts",441310,Automotive Parts and Accessories Stores
Valley Pacific Petroleum,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
CM Biomass,424510,Grain and Field Bean Merchant Wholesalers
FARMERS CO-OP OIL CO,424710,Petroleum Bulk Stations and Terminals
Collins Aerospace,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
NYSCO,424410,General Line Grocery Merchant Wholesalers
Swift Printing,323111,Commercial Printing (except Screen and Books)
"AER LOGISTICS, LLLC",488510,Freight Transportation Arrangement
"S A MEADE EXPRESS , INC.",484121,"General Freight Trucking, Long-Distance, Truckload"
Genesis Intermodal,488210,Support Activities for Rail Transportation
ROI Biologicals,541714,Research and Development in Biotechnology (except Nanobiotechnology)
truck and trailer parts and services,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
Worthen Industries Inc.,325520,Adhesive Manufacturing
DFA Dairy Farmers of America,311511,Fluid Milk Manufacturing
PROS Services,541618,Other Management Consulting Services
Healthcare Glendale LLC,623110,Nursing Care Facilities (Skilled Nursing Facilities)
Amazon,454110,Electronic Shopping and Mail-Order Houses
Worldwide Antler Brokers,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Augusta Rd Recycling,423930,Recyclable Material Merchant Wholesalers
United Farms of Oasis,111998,All Other Miscellaneous Crop Farming
"MKW + Associates, LLC",541320,Landscape Architectural Services
ElecTec Inc,238210,Electrical Contractors and Other Wiring Installation Contractors
LaRocque Trucking,484121,"General Freight Trucking, Long-Distance, Truckload"
Ag View FS,424910,Farm Supplies Merchant Wholesalers
Kimberly Clark,322291,Sanitary Paper Product Manufacturing
Walmart,452311,Warehouse Clubs and Supercenters
Ocean Innovations,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
WALMART DC 6087 / 6271,493120,Refrigerated Warehousing and Storage
JOHNSTON,322291,Sanitary Paper Product Manufacturing
Felix Valdez,561611,Investigation Services
Neway Packaging Corporation,322211,Corrugated and Solid Fiber Box Manufacturing
VulcanForms,332117,Powder Metallurgy Part Manufacturing
Millbrook Fisheries,112511,Finfish Farming and Fish Hatcheries
Sun State Nursery,111421,Nursery and Tree Production
Walmart 6064,452311,Warehouse Clubs and Supercenters
Mortenson Bros Farms,111998,All Other Miscellaneous Crop Farming
Control Union USA Inc.,541614,"Process, Physical Distribution, and Logistics Consulting Services"
INDYKUSA,332710,Machine Shops
Astra Foods,311612,Meat Processed from Carcasses
International Trading LLC,425120,Wholesale Trade Agents and Brokers
"Clark Auction Company, LLC",561990,All Other Support Services
VSS CARREIRS,484121,"General Freight Trucking, Long-Distance, Truckload"
W.G. Hamil Watermelons & Produce Inc,424480,Fresh Fruit and Vegetable Merchant Wholesalers
"LaJoie Growers, LLC",111219,Other Vegetable (except Potato) and Melon Farming
"Florida Purchasing Agency, Inc.",424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
Gemsa Enterprises,551112,Offices of Other Holding Companies
CRYOBIOLOGY,541714,Research and Development in Biotechnology (except Nanobiotechnology)
berks warehouse,493110,General Warehousing and Storage
